timestamp,latency_ms,prompt_length
1763448539.0270457,128362.86,33
1763448631.3126855,92278.42,41
1763448734.2902884,102975.54,34
1763448814.2063105,79913.67,38
1763449009.1169043,194907.65,27
1763449179.0791798,169887.17,25
1763449287.4000058,108314.56,23
1763449357.4030454,70000.02,20
1763449452.892785,95485.16,33
1763449544.5070512,91613.21,41
1763449642.0239584,97516.34,34
1763449734.916617,92891.58,38
1763449820.6189559,85701.36,27
1763449935.3186774,114695.73,25
1763450013.5858414,78264.59,23
1763450091.9072855,78320.22,20
1763450164.3860826,72477.85,33
1763450259.392504,95004.89,41
1763450345.2132978,85819.65,34
1763450444.9887285,99774.27,38
