timestamp,latency_ms,prompt_length
1763437243.8642626,2493.61,33
1763437246.5627186,2698.27,41
1763437248.7927303,2229.78,34
1763437250.9210284,2128.25,38
1763437253.8613648,2940.21,27
1763437257.0120282,3150.31,25
1763437259.5960507,2583.56,23
1763437263.7232902,4124.31,20
1763437266.2110507,2487.31,33
1763437266.3469892,135.68,41
1763437269.0874643,2740.39,34
1763437271.893596,2805.83,38
1763437274.3411012,2447.21,27
1763437276.5740173,2232.76,25
1763437278.9415889,2367.48,23
1763437281.3357956,2394.0,20
1763437283.732686,2396.79,33
1763437285.9129825,2180.17,41
1763437288.3203886,2407.29,34
1763437290.8706074,2549.93,38
