timestamp,latency_ms,prompt_length
1763437083.9771304,6021.81,33
1763437087.235621,3255.25,41
1763437089.6867294,2449.17,34
1763437091.8507771,2162.45,38
1763437094.1292412,2276.9,27
1763437096.6438339,2512.83,25
1763437099.4311478,2785.63,23
1763437101.9405959,2507.49,20
1763437104.2734823,2331.45,33
1763437106.7553284,2480.05,41
1763437109.036302,2279.39,34
1763437111.345239,2307.28,38
1763437113.6273367,2280.36,27
1763437115.8105116,2181.44,25
1763437118.2094955,2398.67,23
1763437120.570879,2359.74,20
1763437125.1041021,4530.83,33
1763437129.282026,4167.19,41
1763437131.5557902,2272.08,34
1763437134.0849702,2528.25,38
