timestamp,latency_ms,prompt_length
1763439044.6050837,102841.23,33
1763439144.9168568,100311.01,41
1763439231.4875886,86568.93,34
1763439326.107038,94617.88,38
1763439406.3009853,80192.56,27
1763439525.5046792,119200.84,25
1763439621.0148005,95506.45,23
1763439703.4006305,82384.56,20
1763439747.0937378,43691.84,33
1763439795.0869832,47991.97,41
1763439845.8916953,50803.13,34
1763439894.9151764,49022.22,38
1763439947.093454,52177.28,27
1763440031.6047611,84509.76,25
1763440113.982616,82376.0,23
1763440188.7164166,74732.14,20
1763440254.0999703,65382.11,33
1763440322.795859,68694.93,41
1763440384.1213548,61324.22,34
1763440459.1857302,75062.97,38
