timestamp,latency_ms,prompt_length
1763466531.2240107,49566.2,33
1763466564.4136384,32119.23,41
1763466599.415711,34996.95,34
1763466639.9999425,37982.05,38
1763466681.2123857,40195.14,27
1763466733.4043825,49162.75,25
1763466774.825659,40907.62,23
1763466869.3231132,91937.48,20
1763466910.9837441,37993.99,33
1763466963.224424,51223.31,41
1763467010.011737,44162.81,34
1763467070.2844718,58701.7,38
1763467093.9170444,21570.63,27
1763467118.4103699,22436.36,25
1763467142.803768,22866.29,23
1763467170.0047364,24106.45,20
1763467194.4144557,22378.9,33
1763467222.495743,24474.28,41
1763467246.7994227,22788.03,34
1763467275.882771,26022.64,38
