timestamp,latency_ms,prompt_length
1763437196.3695502,2442.81,33
1763437198.4809513,2111.23,41
1763437200.6579983,2177.0,34
1763437203.0383606,2380.19,38
1763437205.2367697,2197.48,27
1763437207.6321352,2395.27,25
1763437209.789766,2157.45,23
1763437211.914649,2124.77,20
1763437214.1546519,2239.95,33
1763437216.3670516,2212.32,41
1763437218.5020423,2134.8,34
1763437220.6519084,2149.81,38
1763437222.8832643,2231.28,27
1763437225.081205,2197.78,25
1763437227.196938,2115.69,23
1763437229.4319894,2234.97,20
1763437231.5499792,2117.78,33
1763437233.7451878,2195.17,41
1763437236.0413058,2296.02,34
1763437238.2361696,2194.57,38
