timestamp,latency_ms,prompt_length
1763437395.606172,76446.29,33
1763437486.9976232,91384.46,41
1763437569.9095683,82907.15,34
1763437646.688263,76775.81,38
1763437714.5085444,67816.29,27
1763437769.3855357,54871.48,25
1763437829.006698,59615.22,23
1763437895.186168,66175.12,20
1763437960.4149883,65224.72,33
1763438072.086846,111667.59,41
1763438178.4868634,106389.51,34
1763438259.9172091,81422.6,38
1763438346.9917114,87069.87,27
1763438417.1840453,70188.66,25
1763438501.5127606,84320.12,23
1763438583.621304,82105.36,20
1763438664.9920247,81366.86,33
1763438756.0178514,91023.22,41
1763438818.107452,62083.7,34
1763438914.5787244,96467.93,38
