timestamp,latency_ms,prompt_length
1763467304.4971247,21452.1,33
1763467329.488532,22958.64,41
1763467356.1957147,23630.96,34
1763467382.917411,24689.6,38
1763467406.3978238,21906.53,27
1763467433.4148185,24921.53,25
1763467457.4176338,20914.08,23
1763467481.117749,23189.56,20
1763467506.6079872,22369.92,33
1763467529.286329,21151.04,41
1763467555.5944743,23737.7,34
1763467580.6120179,22997.39,38
1763467612.1269886,28444.53,27
1763467637.71535,23527.03,25
1763467662.196693,21856.22,23
1763467688.7170677,24448.39,20
1763467712.7181857,22391.32,33
1763467739.7235272,23870.95,41
1763467766.224718,23872.42,34
1763467790.4081936,22137.72,38
