timestamp,latency_ms,prompt_length
1763465404.7951157,119836.01,33
1763465467.7227027,60385.26,41
1763465492.0909238,21812.13,34
1763465564.6920176,70546.91,38
1763465618.221826,52485.73,27
1763465673.3823617,53531.55,25
1763465727.0234616,50579.05,23
1763465779.8224742,49200.59,20
1763465844.1260993,61723.02,33
1763465881.1963732,33527.19,41
1763465918.5942073,36382.37,34
1763465958.0089016,36862.22,38
1763466002.0044832,41931.22,27
1763466037.2831886,33748.54,25
1763466077.9281278,39585.66,23
1763466111.7804747,32321.62,20
1763466145.4830537,31158.54,33
1763466188.783461,39733.84,41
1763466240.513788,50705.43,34
1763466281.1101718,38933.71,38
